編號,分類,題號,文件名稱,題目,選項1,選項2,選項3,選項4,正確答案,圖片檔名
A2-076,A2,076,115年第一次初級AI應用規劃師_第二科_生成式AI應用與規劃_公告試題_20260410164328.pdf,某支付平台為了強化洗錢行為檢測，計劃導入生成式 AI 技術來輔助分析可疑交易模式。該平台擁有大量歷史交易記錄和已知洗錢案例資料，希望 AI 能自動生成可疑交易的特徵描述報告。下列哪一種生成式 AI 技術最適合此需求？,(1) 使用 Midjourney 生成交易流程圖像；,(2) 採用 Few-shot Learning 訓練圖像識別模型；,(3) 運用 RAG 檢索增強生成技術結合歷史案例資料庫；,(4) 直接使用 ChatGPT 的基礎模型進行分析,3,
A2-077,A2,077,115年第一次初級AI應用規劃師_第二科_生成式AI應用與規劃_公告試題_20260410164328.pdf,某紡織公司希望建立自動化品質檢測流程，既有的 AI 系統檢測到布料瑕疵時，需自動拍照存檔、發送通知給品管人員。該公司具有一定開發人力，希望快速建置此工作流程，並保有彈性調整空間，下列哪一種解決方案最適合？,(1) 使用 n8n 建立工作流（Workflow），整合 AI 檢測 API、檔案系統、通訊軟體；,(2) 委外開發客製化程式，完全符合公司需求規格；,(3) 採購現成的品質管理軟體，直接導入使用；,(4) 使用 Excel 巨集搭配人工作業處理檢測結果,1,
A2-078,A2,078,115年第一次初級AI應用規劃師_第二科_生成式AI應用與規劃_公告試題_20260410164328.pdf,某市政府交通局計劃導入生成式 AI 技術來自動生成公車到站時間預測的文字報告，每日需處理約 50 萬筆交通資料並生成 1000 份報告。在評估導入成本時，團隊希望進行 Token Economics 分析（指模型推理與生成過程中，Token 使用量及其費用）。下列何者不屬於 Token Economics 的考量範圍？,(1) 每次 API 呼叫所需的輸入 Token 數量；,(2) 生成報告內容所消耗的輸出 Token 費用；,(3) AI 模型訓練階段使用 Token 數量所需的 GPU 記憶體成本；,(4) 模型推理過程中的 Token 使用量統計,3,
A2-079,A2,079,115年第一次初級AI應用規劃師_第二科_生成式AI應用與規劃_公告試題_20260410164328.pdf,某農業合作社希望建立一套自動化工作流程，當農民透過手機 APP 回報田間病蟲害照片時，系統能自動通知相關專家、建立案件紀錄並排程現場訪查。該合作社IT 資訊人力有限，僅有一位具備基礎程式概念的人員。下列哪一種開發方式最適合此需求？,(1) 採用傳統程式開發，從零開始撰寫完整系統；,(2) 使用純粹的 No-Code 平台，完全不需要任何程式技能；,(3) 使用 Low-Code 平台，結合視覺化拖拉與少量程式碼；,(4) 直接購買現成的農業管理軟體，不進行客製化,3,
A2-080,A2,080,115年第一次初級AI應用規劃師_第二科_生成式AI應用與規劃_公告試題_20260410164328.pdf,某市政府環保局想建立一個垃圾分類查詢系統，讓民眾輸入物品名稱後自動判斷分類。由於垃圾種類繁多，但每種分類的訓練範例有限，工程師決定採用少樣本學習（Few-shot Learning）技術。下列何者為少樣本學習（Few-shot Learning）的主要特徵？,(1) 需重新蒐集大規模標註資料，以確保模型具備穩定表現；,(2) 透過少量任務示例，引導模型適應新情境或新分類需求；,(3) 不需任何範例輸入，即可完成新任務推論；,(4) 僅適用於自然語言處理任務，對其他模態效果有限,2,
A2-081,A2,081,115年第一次初級AI應用規劃師_第二科_生成式AI應用與規劃_公告試題_20260410164328.pdf,某有機農場累積了十年的病蟲害防治紀錄文件，包含不同作物的病害症狀描述、防治方法和效果評估。農場主人希望建立一個 AI 助手，能根據農民描述的作物症狀，快速提供相關的防治建議和歷史案例。下列哪一種技術最適合解決這個需求？,(1) 直接使用 ChatGPT 的預訓練知識回答農業問題；,(2) 將所有文件內容加入 ChatGPT 的系統提示詞中；,(3) 採用 RAG 技術，將農場文件建立向量資料庫，結合大語言模型生成回答；,(4) 使用少樣本學習（Few-shot Learning），在提示詞中提供 3-5 個病害案例,3,
A2-082,A2,082,115年第一次初級AI應用規劃師_第二科_生成式AI應用與規劃_公告試題_20260410164328.pdf,隨著企業加速導入 AI，No-Code/Low-Code 平台逐漸成為模型開發與產品化的常見工具。相較於傳統自行撰寫程式的建模流程，下列何者最能正確描述此類平台在模型訓練機制上的典型特性？,(1) 透過視覺化介面與標準化流程，協助完成模型訓練與調校；,(2) 主要提供既有模型推論能力，通常不支援重新訓練；,(3) 著重資料處理與轉換，模型訓練仍需外部工具完成；,(4) 多數僅適用於特定大數據框架（如 Spark）的訓練流程,1,
A2-083,A2,083,115年第一次初級AI應用規劃師_第二科_生成式AI應用與規劃_公告試題_20260410164328.pdf,某醫療院所希望改善行政效率，規劃讓各科室人員可自行建立行政回報與內部申請表單，並導入 AI 功能以自動判讀與分類填寫內容（如問題類型或需求性質），同時需兼顧流程調整彈性與降低系統開發維運負擔。下列哪一種技術組合最適合？,(1) Low-Code 平台 × 預訓練語言模型 API；,(2) No-Code 平台 × 規則式自動化（Rule-based Automation）；,(3) 傳統程式開發 × 自建深度學習模型；,(4) 試算表工具 × 手動資料標記分析,1,
A2-084,A2,084,115年第一次初級AI應用規劃師_第二科_生成式AI應用與規劃_公告試題_20260410164328.pdf,某企業導入 No-Code/Low-Code 平台開放各部門自行開發應用。半年後發現：出現多個功能相近系統、資料欄位定義不一致，且部分應用未經審核即上線，並伴隨權限與維運管理混亂。下列何者最可能為根本問題？,(1) 缺乏統一的開發與上線管理機制；,(2) 平台提供過高的應用設計自主性；,(3) 部門未建立共用的資料分析呈現標準；,(4) 系統整合與自動化能力尚未完善,1,
A2-085,A2,085,115年第一次初級AI應用規劃師_第二科_生成式AI應用與規劃_公告試題_20260410164328.pdf,在生成式 AI 文字生成模型設計中，Encoder–Decoder 與 Decoder-only 為常見架構。下列何者最能正確說明兩者在資訊處理與生成機制上的核心差異？,(1) Encoder–Decoder 透過編碼與解碼階段處理序列，Decoder-only 則以單一模型完成處理；,(2) Encoder–Decoder 區分輸入理解與內容生成階段，Decoder-only 以單一模型同時處理上下文與生成；,(3) Decoder-only 架構主要依賴外部知識檢索，Encoder–Decoder 則不需要；,(4) Encoder–Decoder 架構僅適用於翻譯任務，Decoder-only 架構較適合對話任務,2,
A2-086,A2,086,115年第一次初級AI應用規劃師_第二科_生成式AI應用與規劃_公告試題_20260410164328.pdf,某連鎖零售企業使用生成式 AI 協助規劃門市補貨策略。決策時需同時考量多項彼此相關的因素，例如：庫存水位、促銷活動、區域銷售差異與物流限制。專案團隊發現，AI 雖能逐步說明推論過程，但對於多條件之間的相互影響掌握不足，導致建議結果偶有偏差。若希望透過提示工程（Prompt Engineering）改善此問題，下列哪一種策略最為適合？,(1) Chain of Thought，要求模型逐步展開推論；,(2) Tree of Thoughts，增加多種推論路徑探索；,(3) Graph Prompting，以結構化方式呈現條件與關聯；,(4) Zero-shot Prompting，避免範例影響模型判斷,3,
A2-087,A2,087,115年第一次初級AI應用規劃師_第二科_生成式AI應用與規劃_公告試題_20260410164328.pdf,某電商平台導入生成式 AI 客服助理，用於自動回覆顧客詢問。營運需求包含：需即時反映每日更新的促銷活動與商品資訊，同時維持品牌一致的回覆語氣，且企業希望避免因模型重新訓練所造成的成本增加與系統不穩定。在此情境下，下列哪一種技術策略最合理？,(1) 僅進行 Fine-tuning，使模型同時學習品牌語氣與即時促銷內容；,(2) 僅導入 RAG 更新促銷資訊，期望模型直接從檢索內容學習品牌語氣；,(3) 透過 Prompt Engineering 控制回覆風格，並以 RAG 引入最新商品與活動資訊；,(4) 持續進行增量 Fine-tuning，以確保活動資訊同步更新,3,
A2-088,A2,088,115年第一次初級AI應用規劃師_第二科_生成式AI應用與規劃_公告試題_20260410164328.pdf,某企業規劃導入生成式 AI 助理，在正式全面部署前進行概念驗證（PoC），下列何者最不適合作為此階段的主要工作？,(1) 驗證模型在實際使用情境下的回覆品質與穩定性；,(2) 測試 AI 功能與業務需求的匹配程度；,(3) 制定跨部門使用規範，與長期治理框架；,(4) 評估系統整合可行性與技術限制,3,
A2-089,A2,089,115年第一次初級AI應用規劃師_第二科_生成式AI應用與規劃_公告試題_20260410164328.pdf,某企業規劃導入生成式 AI 客服系統，需處理顧客查詢並引用歷史交易資料。法遵部門在風險評估中指出，系統若不當處理顧客個人資料，可能引發合規與法律責任。若專案初期希望從資料層面降低敏感資訊暴露風險，下列敘述何者最為合理？,(1) 強化模型輸出審查與遮罩機制，以過濾可能出現的敏感資訊；,(2) 設定 AI 回覆範圍與角色權限，限制其存取特定類型資料；,(3) 將資料集中於加密儲存環境，並加強系統存取控管；,(4) 僅提供必要資料或數據欄位與去識別化策略，減少模型接觸可識別個資,4,
A2-090,A2,090,115年第一次初級AI應用規劃師_第二科_生成式AI應用與規劃_公告試題_20260410164328.pdf,某企業導入大型語言模型（LLM）進行客服自動化，並已透過 Fine-Tuning 學習企業標準問答範例，但在實務運作中仍出現回應策略未符合服務優先順序及語氣與品牌風格不一致的情況，因此技術團隊建議再導入 Reinforcement Fine-tuning（RFT）機制進行優化，其主要目的為何？,(1) 擴展模型的知識涵蓋範圍與資料記憶能力；,(2) 透過 reward 訊號調整模型回應策略與行為偏好；,(3) 提升模型推論速度與降低回應延遲；,(4) 降低 prompt 設計複雜度並取代訓練流程,2,
A2-091,A2,091,115年第一次初級AI應用規劃師_第二科_生成式AI應用與規劃_公告試題_20260410164328.pdf,企業在評估 AI 決策模型是否存在資料分布偏差時，下列何者最屬於偏見檢測（Bias Detection）而非偏見緩解（Bias Mitigation）措施？,(1) 比較不同資料分布的模型預測結果分布與錯誤率；,(2) 重新加權訓練樣本以平衡資料分布代表性；,(3) 在推論階段加入輸出過濾規則；,(4) 調整模型決策閾值（Decision Threshold）以降低預測差異,1,
A2-092,A2,092,115年第一次初級AI應用規劃師_第二科_生成式AI應用與規劃_公告試題_20260410164328.pdf,某企業希望利用含敏感資訊的資料進行 AI 模型訓練，但政策要求原始資料不得外洩，且資料可集中於安全環境中處理。同時，企業希望在資料使用過程中，即使資料處於加密狀態，仍能完成模型計算。在此需求下，下列哪一種技術最為適合？,(1) 聯邦學習（Federated Learning）；,(2) 同態加密（Homomorphic Encryption）；,(3) 零知識證明（Zero-knowledge Proof）；,(4) 資料匿名化（Data Anonymization）,2,
A2-093,A2,093,115年第一次初級AI應用規劃師_第二科_生成式AI應用與規劃_公告試題_20260410164328.pdf,某金融服務公司規劃導入生成式 AI，在評估模型部署方式時，基於內部控制與治理要求，企業考慮將大型語言模型建置於公司可管理環境，而非直接採用外部雲端服務。下列何者最能合理說明此部署決策的潛在優勢？,(1) 有助提升模型回覆穩定性並降低隨機性影響；,(2) 可降低敏感資料需傳輸至外部服務的風險；,(3) 可直接減少模型訓練與維運所需資源投入；,(4) 可避免模型輸出偏差與幻覺（Hallucination）問題,2,
A2-094,A2,094,115年第一次初級AI應用規劃師_第二科_生成式AI應用與規劃_公告試題_20260410164328.pdf,某智慧製造廠導入語音互動 AI 助理，作業人員可透過語音查詢設備狀態與操作指引。系統流程包含語音轉文字、語言模型生成回覆，以及即時查詢內部系統資料。測試結果顯示：語音轉文字在專業設備術語上錯誤率偏高；語言模型回覆偶有內容不夠精準；系統整體回應速度略慢但仍在可接受範圍。若專案目標為優先確保正確執行指令，下列改進措施的執行順序何者最合理？,(1) 優化語言模型 → 強化語音模型 → 優化系統效能 → 調整生成參數；,(2) 強化語音模型 → 優化語言模型與知識補充 → 調整生成參數 → 優化系統效能；,(3) 優化系統效能 → 強化語音模型 → 優化語言模型與知識補充 → 調整生成參數；,(4) 強化語音模型 → 優化系統效能 → 優化語言模型與知識補充 → 調整生成參數,2,
A2-095,A2,095,115年第一次初級AI應用規劃師_第二科_生成式AI應用與規劃_公告試題_20260410164328.pdf,"某企業導入生成式 AI 助理，協助內部人員撰寫專案建議與分析報告。團隊希望透過思維鏈（Chain of Thought, CoT）提示設計提升模型輸出的邏輯性與推理透明度，下列何者最符合該提示策略？",(1) 「請直接給出最終建議，不需顯示分析過程。」；,(2) 「以下提供兩份分析報告範例，請依相同格式產出新報告。」；,(3) 「請將任務拆為三個步驟：資料整理 → 重點摘要 → 建議產出。」；,(4) 「請逐步說明你的判斷依據與推理過程，最後再給出結論。」,4,
A2-096,A2,096,115年第一次初級AI應用規劃師_第二科_生成式AI應用與規劃_公告試題_20260410164328.pdf,某金融監理機構規劃導入生成式 AI 以協助內部人員分析申報文件與監理報告，系統需處理大量涉及企業敏感資料與未公開資訊。主管機關明確要求「資料安全與法規遵循必須優先於導入速度與成本考量」。在此條件下，下列哪一種策略最為適當？,(1) 採用雲端大型語言模型 API，並透過資料遮罩與加密機制降低外洩風險；,(2) 導入開源模型進行私有化部署，以兼顧成本彈性與模型可控性；,(3) 自行訓練並私有化部署模型，同時建立存取控管與稽核機制；,(4) 先驗證模型效益，再逐步補強合規與資安架構,3,
A2-097,A2,097,115年第一次初級AI應用規劃師_第二科_生成式AI應用與規劃_公告試題_20260410164328.pdf,某製造企業規劃導入生成式 AI 協助產線異常紀錄分析，系統將根據設備回報與維修紀錄自動產出問題摘要與建議處置說明。在試行測試階段，為降低營運與決策風險，下列何者最應優先驗證？,(1) AI 生成建議與實際工程判斷的一致性與正確性；,(2) 系統在高資料量輸入下的處理速度與延遲表現；,(3) 模型對不同設備品牌資料格式的轉換能力；,(4) 異常分析報告的視覺化呈現與介面易讀性,1,
A2-098,A2,098,115年第一次初級AI應用規劃師_第二科_生成式AI應用與規劃_公告試題_20260410164328.pdf,某企業將機器學習模型部署於線上推薦系統。模型在測試階段表現良好，但上線數月後，點擊率與預測準確度逐漸下降。經分析發現，近期使用者行為模式與模型訓練期間的資料特徵出現顯著變化。此現象最可能屬於下列何者？,(1) 模型過度擬合訓練資料，無法泛化至未知樣本；,(2) 特徵工程設計不佳，導致輸入資訊不足；,(3) 資料統計特徵隨時間改變，影響模型推論效果；,(4) 系統資料結構調整，造成特徵欄位錯置,3,
A2-099,A2,099,115年第一次初級AI應用規劃師_第二科_生成式AI應用與規劃_公告試題_20260410164328.pdf,某企業使用 Low-Code 平台建置內部營運系統，系統需整合財務、庫存與第三方物流服務。團隊希望確保系統在跨部門流程與外部服務整合下，具高可靠性與可測試性。下列哪一項作法最能達成目標？,(1) 只透過平台提供的流程模擬與即時預覽，檢查常用操作路徑；,(2) 建立自動化測試流程，結合模擬外部服務與可重複執行的整合測試；,(3) 將測試重點放在使用者介面操作，確認操作流程是否順暢；,(4) 上線後再透過使用者回饋與報表監控系統行為，進行修正,2,
A2-100,A2,100,115年第一次初級AI應用規劃師_第二科_生成式AI應用與規劃_公告試題_20260410164328.pdf,某招聘公司使用生成式 AI 生成面試問題與候選人評估建議。團隊發現模型可能對性別或年齡產生的資料分布偏差。下列哪一種策略最能有效降低生成偏差輸出的風險？,(1) 調整模型架構與參數，使生成更靈活與多樣化；,(2) 大幅增加訓練資料量，但不清理或平衡資料中的性別與年齡分布；,(3) 在生成後對模型輸出進行人工審查，並依偏差情況修正結果；,(4) 僅允許高階主管操作系統，透過人員篩選控制生成結果,3,
A1-101,A1,001,115年第二次初級AI應用規劃師第一科人工智慧基礎概論公告試題,某地方政府委託資料科學團隊，針對選舉期間的社群媒體貼文進行大規模輿情 分析，目標是了解選民對各政策議題的態度傾向。團隊規劃整合多種AI 技術以 提升分析涵蓋率。下列哪一種技術組合最符合上述需求，且不涉及對特定個人 的身份辨識？,(1) 情感分析結合關鍵詞提取，分析貼文內容的立場與高頻議題詞彙,(2) 文本分類結合人臉辨識，辨識發文者身份後再進行政治立場分類,(3) 語音辨識結合影像辨識，將選舉造勢影片轉換為可分析的文字資料，並進行 內容整理與主題歸納,(4) 推薦系統結合社群圖譜分析，針對個別使用者預測其投票選擇,1,
A1-102,A1,002,115年第二次初級AI應用規劃師第一科人工智慧基礎概論公告試題,某物流公司正在規劃導入AI 系統以優化多項業務流程，包含異常包裹偵測、路 線自動規劃與倉儲揀貨效率提升。技術團隊在評估過程中，針對不同任務的資 料特性與學習目標，討論應採用哪種機器學習方式。請問下列對於各學習方式 的敘述，何者有誤？,(1) 監督式學習（Supervised Learning）適合用於異常包裹偵測，前提是須備有大 量已標註為正常或異常的歷史資料,(2) 非監督式學習可（Unsupervised Learning）用於分析倉儲揀貨動線的潛在分 群，但無法直接預測特定行為的對錯,(3) 強化學習（Reinforcement Learning）適合應用於路線規劃，模型透過反覆嘗 試與環境回饋，逐步找出最佳配送策略,(4) 非監督式學習（Unsupervised Learning）可用於異常包裹偵測，並能在缺乏標 註資料的情況下，準確判斷每筆資料是否屬於特定異常類別,4,
A1-103,A1,003,115年第二次初級AI應用規劃師第一科人工智慧基礎概論公告試題,某電子製造公司在產線上導入AI 系統，自動判斷電路板是否存在焊接瑕疵，並 取代人工目視檢查。該系統需處理大量產品外觀影像，並在高產量環境下短時 間內完成品質判定。下列何者最不符合此應用所展現的AI 核心技術能力？,(1) 自然語言處理（Natural Language Processing）,(2) 電腦視覺（Computer Vision）,(3) 異常偵測（Anomaly Detection）,(4) 診斷性分析（Diagnostic Analytics）,1,
A1-104,A1,004,115年第二次初級AI應用規劃師第一科人工智慧基礎概論公告試題,某金融科技公司的交易系統，在毫秒等級的時間內持續掃描跨市場價格差異、 分析大量即時報價，並自動執行交易指令。系統架構師在技術選用評估時，需 確認該系統於即時交易決策中最核心依賴的AI 能力。下列何者最能正確說明其 核心AI 能力？,(1) 透過自然語言處理技術分析財經新聞語意，作為輔助性市場情緒指標；  第一科：人工智慧基礎概論  答案  題目,(2) 快速分析龐大市場數據並在極短時間內識別交易機會，驅動自動化交易決 策,(3) 運用生成對抗網路模擬極端市場情境，預先產出各類黑天鵝事件的應對策 略,(4) 透過推薦系統技術，根據投資人歷史交易行為推薦最適合的投資組合標的,2,
A1-105,A1,005,115年第二次初級AI應用規劃師第一科人工智慧基礎概論公告試題,某地方政府導入AI 系統審核低收入補助資格。系統已通過內部測試且準確率 高，但民間團體指出不同族群核准率差異顯著。政府表示該系統由專業廠商開 發，且未接獲大量申訴。依《人工智慧基本法》精神，下列何者為最適當之優 先作法？,(1) 要求廠商提出無歧視聲明，並持續觀察,(2) 提升模型整體準確率，以降低錯誤影響,(3) 進行偏誤影響評估並建立可解釋與申訴機制,(4) 因尚無大量申訴，暫不調整現行制度,3,
A1-106,A1,006,115年第二次初級AI應用規劃師第一科人工智慧基礎概論公告試題,某AI 新創公司申請AI 系統認證，並聲稱其產品已通過我國「AI 產品與系統評 測中心」之生成式AI 評測。下列何者不屬於該中心之評測項目？,(1) 資安（Secure）,(2) 公平性（Fair）,(3) 效率性（Efficiency）,(4) 可靠性（Reliability）,3,
A1-107,A1,007,115年第二次初級AI應用規劃師第一科人工智慧基礎概論公告試題,某媒體集團計畫自行訓練一套生成式AI 系統，用於自動產出新聞摘要與評論內 容。在專案啟動會議中，法務與技術團隊共同討論如何從訓練階段就降低模型 產出有害或偏頗內容的風險，並兼顧內容的多元性與公平性。請問下列哪一項 措施最應該在模型訓練階段優先落實？,(1) 確保訓練資料來源多元，並經過嚴格的內容清洗與偏見過濾，以減少模型學 習到有害或偏頗資訊的風險,(2) 完全避免使用任何外部文本資料，以降低模型學習到不當內容的可能性,(3) 僅使用公司內部的新聞稿與公告進行訓練，確保資料來源可控且符合企業立 場,(4) 限制模型僅能產出固定格式的內容，從輸出端約束模型避免生成不當資訊,1,
A1-108,A1,008,115年第二次初級AI應用規劃師第一科人工智慧基礎概論公告試題,某保險公司規劃推出一套AI 核保輔助系統，針對線上投保申請進行初步風險評 估並自動回覆審核結果。系統開發完成後，依據金融機構運用人工智慧技術作 業規範，系統在正式與消費者互動前，必須確認相關揭露義務已落實。請問下 列何者不屬於該規範要求金融機構必要揭露的事項？ 第一科：人工智慧基礎概論 答案 題目,(1) 詳細公開本系統所採用的機器學習模型架構與完整訓練資料內容,(2) 說明本服務的適用對象與用途範圍，使消費者了解系統的使用限制與服務邊 界,(3) 說明當消費者對AI 核保結果有異議時，是否提供人工複核或申訴管道,(4) 告知消費者本次核保審查結果係由AI 系統自動完成，非人工逐案審核,1,
A1-109,A1,009,115年第二次初級AI應用規劃師第一科人工智慧基礎概論公告試題,某大型醫院導入AI 輔助診斷系統，用於分析病患的電子病歷與影像資料並提供 疾病風險評分。系統上線後，院方陸續收到三類回饋：①放射科醫師反映無法 理解系統判斷某病患為高風險的依據與理由；②數位治理委員會發現系統對特 定族裔病患的誤診率顯著偏高；③資訊安全部門指出部分病患個資在未告知當 事人的情況下被納入模型再訓練。依據AI 倫理五大核心原則，上述三類問題分 別對應哪一項原則的違反？,(1) ①違反安全性、②違反問責性、③違反透明性,(2) ①違反隱私性、②違反安全性、③違反公平性,(3) ①違反公平性、②違反透明性、③違反問責性,(4) ①違反透明性、②違反公平性、③違反隱私性,4,
A1-110,A1,010,115年第二次初級AI應用規劃師第一科人工智慧基礎概論公告試題,某市政府環保局計畫建立空氣品質監測AI 系統，需整合全市5 萬個感測器的即 時數據（每秒產生大量資料記錄），並持續接收氣象、交通與工廠排放等資料， 且需即時處理持續產生的資料。就大數據特性分析，下列何者最能說明此專案 面臨的主要挑戰組合？,(1) Volume 與Velocity，因為資料量龐大且持續高速產生,(2) Variety 與Veracity，因為資料來源多元且需確保正確性,(3) Velocity 與Value，因為需即時判斷資料是否具有分析價值,(4) Volume 與Value，因為需從大量資料中篩選出有用資訊,1,
A1-111,A1,011,115年第二次初級AI應用規劃師第一科人工智慧基礎概論公告試題,某保險公司建立理賠風險預測模型時，資料科學家在特徵選擇階段提出以「性 別」作為預測愛滋病毒感染風險的輸入特徵之一。資料治理委員會在審查特徵 清單時，對此提出異議。下列哪一項理由最能說明「以性別預測愛滋病毒感染 風險」是不適當的原因？,(1) 性別為類別型變數，需進行編碼轉換才能輸入模型，增加前處理複雜度,(2) 性別特徵在資料集中可能存在缺失值，影響模型訓練的穩定性,(3) 以性別作為感染風險的代理特徵，會強化對特定族群的歧視性標籤，違反公 平性原則,(4) 性別特徵與感染風險之間的統計相關性有限，可能降低模型預測效能,3,
A1-112,A1,012,115年第二次初級AI應用規劃師第一科人工智慧基礎概論公告試題,某製造業導入AI 進行生產排程，需整合ERP（企業資源規劃系統）訂單資料、 第一科：人工智慧基礎概論 答案 題目 設備感測器產生的連續數值紀錄，以及維修技師手寫異常描述（掃描為PDF）。 資料治理主管需判斷三類資料的型態。下列何者最能正確對應其資料型態？,(1) ERP 訂單資料為半結構化、感測器數值為結構化、維修文字描述為非結構 化,(2) ERP 訂單資料為結構化、感測器數值為結構化、維修文字描述為非結構化,(3) ERP 訂單資料為結構化、感測器數值為非結構化、維修文字描述為半結構 化,(4) 三者皆屬結構化資料，因為都可以轉換為數值格式後進行分析,2,
A1-113,A1,013,115年第二次初級AI應用規劃師第一科人工智慧基礎概論公告試題,某銀行建立機器學習模型預測客戶的貸款違約風險。資料集中有一個「職業類 別」欄位，包含「工程師、教師、業務、自由業」等類別。工程師計劃將此欄 位進行編碼處理後直接輸入線性模型。下列哪一種編碼方式最可能導致模型錯 誤解讀類別之間的關係？,(1) One-Hot Encoding,(2) Binary Encoding,(3) Target Encoding,(4) Label Encoding,4,
A1-114,A1,014,115年第二次初級AI應用規劃師第一科人工智慧基礎概論公告試題,某能源公司以過去三年每小時用電資料建立需求預測模型，並以5-fold 交叉驗 證評估，但上線後誤差偏高。技術主管認為問題出在資料分割方式。下列何者 最能說明使用標準k-fold 交叉驗證的根本問題？,(1) k-fold 交叉驗證需要的計算資源過大，不適合處理三年以上的長期資料,(2) k-fold 交叉驗證會隨機分割資料，使訓練集中可能包含比測試集更晚的時間 點，破壞時間依賴性,(3) k-fold 交叉驗證的折數設定過少，應改為10-fold 以提升驗證穩定性,(4) k-fold 交叉驗證僅適用於分類問題，不適合電力需求這類連續數值預測任務,2,
A1-115,A1,015,115年第二次初級AI應用規劃師第一科人工智慧基礎概論公告試題,某醫療院所建置病患再住院風險預測模型，特徵包含「年齡」、「體重」、「血壓 數值」及「診斷類別代碼」等，資料科學家考慮是否需對數值特徵進行標準化 （Standardization）處理。下列何種模型對特徵尺度最不敏感、最適合在不進行 標準化的情況下直接使用上述特徵進行訓練？,(1) 線性迴歸（Linear Regression）,(2) 支援向量機（Support Vector Machine）,(3) K 近鄰演算法（K-Nearest Neighbors）,(4) 決策樹（Decision Tree）,4,
A1-116,A1,016,115年第二次初級AI應用規劃師第一科人工智慧基礎概論公告試題,某企業集團在多個領域導入AI 技術，應用於不同業務場景。請問下列哪一項最 第一科：人工智慧基礎概論 答案 題目 符合異常檢測（Anomaly Detection）的主要應用目標？,(1) 分析客戶的消費行為資料，將客群依偏好進行分群，以制定差異化行銷策 略,(2) 根據歷史交易與客戶資料，建立模型預測未來可能發生違約的客戶,(3) 彙整企業各部門的營運數據，建立儀表板供管理層追蹤關鍵績效指標 （KPI）的變化,(4) 從設備感測資料中，即時偵測出與正常運作模式顯著偏離的訊號，以預警可 能發生的故障,4,
A1-117,A1,017,115年第二次初級AI應用規劃師第一科人工智慧基礎概論公告試題,某交通局計劃將公車乘客刷卡資料提供給學術機構進行通勤模式研究，該資料 包含卡號、上下車時間、路線編號等欄位，且需保留跨時間追蹤同一乘客行為 能力。為保護乘客隱私，下列哪種處理方式最符合個人資料保護法的去識別化 要求？,(1) 將卡號欄位全部刪除，僅保留上下車時間與路線編號,(2) 對卡號進行MD5 雜湊處理，並保留對照表供查詢,(3) 將資料彙總為每日各路線總乘客數統計,(4) 將卡號替換為隨機編號，且不保留任何對應關係,4,
A1-118,A1,018,115年第二次初級AI應用規劃師第一科人工智慧基礎概論公告試題,某工業感測器回傳溫度時序資料，約5%出現遺漏值，確認為短暫失聯所致，非 設備異常。資料工程師需在不引入虛假異常的前提下進行補值。考量資料具時 間連續性，下列何種填補方式最為合適？,(1) 將遺漏值全數填補為0,(2) 以前後時間點的觀測值進行線性插補,(3) 填補整份資料的平均值,(4) 直接刪除包含遺漏值的時間點,2,
A1-119,A1,019,115年第二次初級AI應用規劃師第一科人工智慧基礎概論公告試題,某溫室農場開發AI 系統自動識別作物葉片上的害蟲種類，測試結果顯示：在 1000 張測試影像中，系統正確識別出80 隻害蟲，但誤判了20 張正常葉片為有 害蟲，同時漏檢了10 隻實際存在的害蟲。對於害蟲檢測這個關鍵任務，下列哪 個評估指標最需要優先關注？,(1) 召回率（Recall）,(2) 精確率（Precision）,(3) 準確率（Accuracy）,(4) F1 分數（F1-Score）,1,
A1-120,A1,020,115年第二次初級AI應用規劃師第一科人工智慧基礎概論公告試題,某跨國企業需透過網路將各國子公司之敏感資料傳輸至總部進行模型訓練。資 訊安全主管要求在傳輸過程中防範中間人攻擊，避免資料遭竊取或竄改。在不 第一科：人工智慧基礎概論 答案 題目 影響系統跨國即時傳輸效率之前提下，下列哪一項措施最能有效降低此風險？,(1) 在接收端加強存取權限與身分驗證，限制只有授權人員可讀取資料,(2) 在資料傳輸過程中進行加密，並確認雙方身分以確保通訊安全,(3) 將資料拆分為多個部分分批傳送，降低單次資料外洩風險,(4) 改用離線備援方式進行跨國資料交換，以降低網路攻擊風險,2,
A1-121,A1,021,115年第二次初級AI應用規劃師第一科人工智慧基礎概論公告試題,關於深度學習（Deep Learning），下列敘述何者最為正確？,(1) 深度學習模型通常需要人工設計特徵，以提升模型表現,(2) 深度學習主要應用於資料壓縮與特徵轉換，較少用於預測任務,(3) 深度學習透過多層神經網路，能自動從大量資料中學習抽象特徵,(4) 深度學習模型通常不需要大量資料即可達到良好效果，適合資料量有限的情 境,3,
